Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
21. Bronco Bullfrog,1970,1h 26m,Not Rated,6.6,432,,Del and his friends agree to take part in a robbery with a boy fresh from the borstal. When Del falls in love with Irene they decide to run away from their nagging parents - and the law.,https://www.imdb.com/title/tt0064111/?ref_=sr_i_21,"['Del Walker', 'Anne Gooding', 'Sam Shepherd']",Barney Platts-Mills,"['Del Walker', 'Anne Gooding', 'Sam Shepherd', 'Roy Haywood', 'Freda Shepherd', 'Dick Philpott', 'Chris Shepherd', 'Stuart Stones', 'Geoffrey Wincott', 'J. Hughes Sr.']","£18,000 (estimated)","$3,452","$13,171","$13,171","June 25, 1971",['United Kingdom'],"Leytonstone, London, England, UK",['Maya Films'],,"['Comedy', 'Drama']",['English']
22. Gods of the Plague,1970,1h 31m,,6.4,1.6K,,"A man is released from prison and finds the society on the outside less than appealing. With several women as well as the police on his tail, he sets out to find an old friend.",https://www.imdb.com/title/tt0065808/?ref_=sr_i_22,"['Hanna Schygulla', 'Margarethe von Trotta', 'Harry Baer']",Rainer Werner Fassbinder,"['Hanna Schygulla', 'Margarethe von Trotta', 'Harry Baer', 'Günther Kaufmann', 'Carla Egerer', 'Ingrid Caven', 'Jan George', 'Lilo Pempeit', 'Marian Seidowsky', 'Micha Cochina']","DEM180,000 (estimated)","$11,623","$8,148","$8,144","July 24, 1970",['West Germany'],"Dreimühlenstraße, Munich, Bavaria, Germany",['Antiteater-X-Film'],2 wins total,"['Crime', 'Drama']","['German', 'French', 'English']"
23. The American Soldier,1970,1h 20m,,6.5,2K,,"Ricky is a cold-blooded U.S. German contract killer. After serving in Viet Nam, he returns to his home town of Munich to eliminate a few problem crooks for three renegade cops. He inspects his old neighborhood with his childhood accomplice Franz Walsch, and pays a short visit to his mother and doting brother. When Ricky asks the hotel clerk for a girl, one of the cops sends his girlfriend Rosa. However, she falls for the killer.",https://www.imdb.com/title/tt0065391/?ref_=sr_i_23,"['Karl Scheydt', 'Elga Sorbas', 'Jan George']",Rainer Werner Fassbinder,"['Karl Scheydt', 'Elga Sorbas', 'Jan George', 'Hark Bohm', 'Marius Aicher', 'Margarethe von Trotta', 'Ulli Lommel', 'Katrin Schaake', 'Ingrid Caven', 'Eva Ingeborg Scholz']","DEM280,000 (estimated)","$11,623","$8,148","$8,144","July 23, 1971",['West Germany'],"Hauptbahnhof, Munich, Bavaria, Germany",['Antiteater-X-Film'],,['Drama'],['German']
24. The Things of Life,1970,1h 29m,GP,7.4,5.8K,,"A highway engineer is involved in a car crash, after which, near death, he remembers his life leading up to the accident.",https://www.imdb.com/title/tt0064165/?ref_=sr_i_24,"['Sandro Continenza', 'Jean-Loup Dabadie', 'Paul Guimard']",Claude Sautet,"['Michel Piccoli', 'Romy Schneider', 'Gérard Lartigau', 'Jean Bouise', 'Boby Lapointe', 'Hervé Sand', 'Jacques Richard', 'Betty Beckers', 'Dominique Zardi', 'Gabrielle Doulcet']",,,"$5,063","$5,063","March 13, 1970","['Switzerland', 'France', 'Italy']","Rue de Sèvres, Paris 7, Paris, France","['Fida Cinematografica', 'Lira Films', 'Sonocam']",1 win & 2 nominations total,"['Drama', 'Romance']",['French']
25. The Boys in the Band,1970,2h,R,7.6,6.1K,65.0,Tempers fray and true selves are revealed when a heterosexual accidentally intrudes on a homosexual party.,https://www.imdb.com/title/tt0065488/?ref_=sr_i_25,['Mart Crowley'],William Friedkin,"['Kenneth Nelson', 'Peter White', 'Leonard Frey', 'Frederick Combs', 'Cliff Gorman', 'Laurence Luckinbill', 'Keith Prentice', 'Reuben Greene', 'Robert La Tourneaux', 'Maud Adams']","$1,250,000 (estimated)",,"$2,695","$2,695","March 17, 1970",['United States'],"Julius Bar, 159 West 10th Street, Greenwich Village, Manhattan, New York City, New York, USA","['Cinema Center Films', 'Leo Films']",4 nominations total,"['Dark Comedy', 'Drama']",['English']
26. Bed & Board,1970,1h 37m,GP,7.4,11K,,"Antoine Doinel works dying flowers in the courtyard outside his apartment. He is married to Christine, who is pregnant. He has an affair with a Japanese woman, jeopardising his marriage.",https://www.imdb.com/title/tt0065651/?ref_=sr_i_26,"['François Truffaut', 'Claude de Givray', 'Bernard Revon']",François Truffaut,"['Jean-Pierre Léaud', 'Claude Jade', 'Hiroko Berghauer', 'Barbara Laage', 'Danièle Girard', 'Daniel Ceccaldi', 'Claire Duhamel', 'Daniel Boulanger', 'Silvana Blasi', 'Pierre Maguelon']",,"$11,206",$509,$509,"September 9, 1970","['France', 'Italy']","Paris, France","['Les Films du Carrosse', 'Valoria Films', 'Fida Cinematografica']",1 win total,"['Comedy', 'Drama', 'Romance']","['French', 'English', 'Japanese', 'Italian']"
27. Valerie and Her Week of Wonders,1970,1h 17m,Not Rated,7.0,12K,,Surreal dream-like tale that combines several themes into one fantastical world.,https://www.imdb.com/title/tt0066516/?ref_=sr_i_27,"['Vítezslav Nezval', 'Ester Krumbachová', 'Jaromil Jires']",Jaromil Jires,"['Jaroslava Schallerová', 'Helena Anýzová', 'Petr Kopriva', 'Jirí Prýmek', 'Jan Klusák', 'Libuse Komancová', 'Karel Engel', 'Alena Stojáková', 'Otto Hradecký', 'Martin Wielgus']",,,,,"October 16, 1970",['Czechoslovakia'],"Barrandov Studios, Prague, Czech Republic",['Filmové studio Barrandov'],1 win & 1 nomination total,"['Coming-of-Age', 'Folk Horror', 'Period Drama', 'Vampire Horror', 'Witch Horror', 'Adventure', 'Drama', 'Fantasy', 'Horror']",['Czech']
28. Rio Lobo,1970,1h 54m,G,6.7,14K,55.0,"After the Civil War, Cord McNally searches for the two traitors whose treachery caused the defeat of McNally's unit and the loss of a close friend.",https://www.imdb.com/title/tt0066301/?ref_=sr_i_28,"['Burton Wohl', 'Leigh Brackett']",Howard Hawks,"['John Wayne', 'Jorge Rivero', ""Jennifer O'Neill"", 'Jack Elam', 'Christopher Mitchum', 'Victor French', 'Susana Dosamantes', 'Sherry Lansing', 'David Huddleston', 'Mike Henry']","$4,000,000 (estimated)",,,,"December 18, 1970","['United States', 'Mexico']","Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA","['Cinema Center Films', 'Estudios Churubusco Azteca S.A.', 'Batjac Productions']",,"['Drama', 'War', 'Western']","['English', 'Spanish']"
29. Catch-22,1970,2h 2m,R,7.1,27K,70.0,A military pilot makes a valiant effort to be certified insane during World War II so that he can be excused from flying missions. But there's a catch.,https://www.imdb.com/title/tt0065528/?ref_=sr_i_29,"['Alan Arkin', 'Martin Balsam', 'Richard Benjamin']",Mike Nichols,"['Alan Arkin', 'Martin Balsam', 'Richard Benjamin', 'Art Garfunkel', 'Jack Gilford', 'Buck Henry', 'Bob Newhart', 'Anthony Perkins', 'Paula Prentiss', 'Martin Sheen']","$18,000,000 (estimated)",,,,"June 24, 1970",['United States'],"San Carlos, Sonora, Mexico","['Paramount Pictures', 'Filmways Productions']",6 nominations total,"['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'War']","['English', 'Italian']"
30. Beyond the Valley of the Dolls,1970,1h 49m,NC-17,6.1,12K,60.0,A rock group move to Hollywood to get discovered and fall into a whirlpool of wickedness.,https://www.imdb.com/title/tt0065466/?ref_=sr_i_30,"['Roger Ebert', 'Russ Meyer']",Russ Meyer,"['Dolly Read', 'Cynthia Myers', 'Marcia McBroom', 'John Lazar', 'Michael Blodgett', 'David Gurian', 'Edy Williams', 'Erica Gavin', 'Phyllis Davis', 'Harrison Page']","$900,000 (estimated)",,,,"June 17, 1970",['United States'],"Century City, Los Angeles, California, USA",['Twentieth Century Fox'],,"['Parody', 'Satire', 'Comedy', 'Drama', 'Music']",['English']
31. Five Easy Pieces,1970,1h 38m,R,7.4,42K,85.0,"A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",https://www.imdb.com/title/tt0065724/?ref_=sr_i_31,"['Carole Eastman', 'Bob Rafelson']",Bob Rafelson,"['Jack Nicholson', 'Karen Black', 'Billy Green Bush', 'Fannie Flagg', 'Sally Struthers', 'Marlena MacGuire', 'Richard Stahl', 'Lois Smith', 'Helena Kallianiotes', 'Toni Basil']","$1,600,000 (estimated)",,,,"September 12, 1970",['United States'],"Denny's Restaurant - 3652 Glenwood Drive, Eugene, Oregon, USA","['BBS Productions', 'Columbia Pictures', 'Five Easy Pieces Productions']",11 wins & 23 nominations total,"['Road Trip', 'Drama']",['English']
32. Tora! Tora! Tora!,1970,2h 24m,G,7.5,38K,46.0,"The story of the 1941 Japanese air raid on Pearl Harbor, and the series of preceding American blunders that aggravated its effectiveness.",https://www.imdb.com/title/tt0066473/?ref_=sr_i_32,"['Richard Fleischer', 'Kinji Fukasaku', 'Toshio Masuda']",Richard Fleischer,"['Martin Balsam', 'Sô Yamamura', 'Jason Robards', 'Joseph Cotten', 'Tatsuya Mihashi', 'E.G. Marshall', 'Takahiro Tamura', 'James Whitmore', 'Eijirô Tôno', 'Wesley Addy']","$25,000,000 (estimated)",,,,"September 23, 1970","['Japan', 'United States']","Pearl Harbor, O'ahu, Hawaii, USA","['Twentieth Century Fox', 'Elmo Williams', 'Richard Fleischer']",2 wins & 7 nominations total,"['Historical Epic', 'War Epic', 'Action', 'Drama', 'History', 'War']","['English', 'Japanese']"
33. The Vampire Lovers,1970,1h 31m,R,6.4,8.1K,63.0,Seductive vampire Carmilla Karnstein and her family target the beautiful and the rich in a remote area of late eighteenth-century Gemany.,https://www.imdb.com/title/tt0066518/?ref_=sr_i_33,"['Sheridan Le Fanu', 'Harry Fine', 'Tudor Gates']",Roy Ward Baker,"['Ingrid Pitt', 'Pippa Steel', 'Madeline Smith', 'Peter Cushing', 'George Cole', 'Dawn Addams', ""Kate O'Mara"", 'Douglas Wilmer', 'Jon Finch', 'Ferdy Mayne']",,,,,"November 23, 1970",['United Kingdom'],"Wall Hall, Hertfordshire, England, UK","['Hammer Films', 'Fantale Films']",,"['Vampire Horror', 'Horror']","['English', 'German']"
34. Eugenie,1970,1h 27m,X,5.2,2.1K,,"An innocent girl spends a weekend on the private island of a libertine woman and her stepbrother, but soon finds herself entangled in a web of sadistic sexual experiments.",https://www.imdb.com/title/tt0064494/?ref_=sr_i_34,"['Maria Rohm', 'Marie Liljedahl', 'Jack Taylor']",Jesús Franco,"['Maria Rohm', 'Marie Liljedahl', 'Jack Taylor', 'Christopher Lee', 'Paul Muller', 'María Luisa Ponte', 'Anney Kablan', 'Uta Dahlberg', 'Jesús Franco', 'Herbert Fux']",,,,"$83,500",March 1970,"['West Germany', 'Spain', 'Liechtenstein', 'United Kingdom']","Barcelona, Catalonia, Spain","['Etablissement Sargon', 'Hape-Film Company GmbH', 'Producciones Cinematográficas Balcazar']",,"['Drama', 'Horror']","['English', 'Spanish', 'German']"
35. Queens of Evil,1970,1h 32m,,6.0,591,,"A young motorcyclist helps a man with a flat tire, who ends up dead after crashing his car. The young man takes a detour into the forest, and stumbles on a lakeside house, occupied by three sisters, but they're not who they pretend to be.",https://www.imdb.com/title/tt0066980/?ref_=sr_i_35,"['Tonino Cervi', 'Benedetto Benedetti', 'Antonio Troiso']",Tonino Cervi,"['Haydée Politoff', 'Silvia Monti', 'Ida Galli', 'Ray Lovelock', 'Gianni Santuccio', 'Guido Alberti', 'Geraldine Hooper']",,,,,"December 11, 1970","['Italy', 'France']",,"['Carlton Film Export', 'Labrador Films', 'Flavia Cinematografica']",,"['Fantasy', 'Horror']",['Italian']
36. The Dunwich Horror,1970,1h 30m,R,5.4,5.4K,,"Wilbur Whateley travels to the Arkham Miskatonic University to borrow the legendary Necronomicon. But, little does anyone know, Whateley isn't quite human...",https://www.imdb.com/title/tt0065669/?ref_=sr_i_36,"['Curtis Hanson', 'Henry Rosenbaum', 'Ronald Silkosky']",Daniel Haller,"['Sandra Dee', 'Dean Stockwell', 'Ed Begley', 'Lloyd Bochner', 'Sam Jaffe', 'Joanne Moore Jordan', 'Donna Baccala', 'Talia Shire', 'Michael Fox', 'Jason Wingreen']",,,,"$446,400","January 14, 1970",['United States'],"Mendocino, California, USA",['American International Pictures (AIP)'],1 nomination total,['Horror'],['English']
37. Soldier Blue,1970,1h 52m,PG,6.9,6.7K,,"After a cavalry patrol is ambushed by the Cheyenne, the two survivors, a soldier and a woman, must reach the safety of the nearest fort.",https://www.imdb.com/title/tt0066390/?ref_=sr_i_37,"['Candice Bergen', 'Peter Strauss', 'Donald Pleasence']",Ralph Nelson,"['Candice Bergen', 'Peter Strauss', 'Donald Pleasence', 'John Anderson', 'Jorge Rivero', 'Dana Elcar', 'Bob Carraway', 'Martin West', 'James Hampton', 'Mort Mills']",,,,"$510,520","September 25, 1970",['United States'],"San Miguel de Horcasitas, Sonora, Mexico","['AVCO Embassy Pictures', 'Katzka-Loeb']",,"['Drama', 'War', 'Western']",['English']
38. Spring and Port Wine,1970,1h 41m,Not Rated,7.0,1K,,A stern father and lenient mother try to deal with the ups and downs of their four children's lives in working-class Bolton.,https://www.imdb.com/title/tt0066401/?ref_=sr_i_38,['Bill Naughton'],Peter Hammond,"['James Mason', 'Diana Coupland', 'Hannah Gordon', 'Susan George', 'Rodney Bewes', 'Len Jones', 'Keith Buckley', 'Avril Elgar', 'Adrienne Posta', 'Frank Windsor']","£198,000 (estimated)",,,,"February 20, 1970",['United Kingdom'],"Sunnyside Mill, Bolton, Greater Manchester, England, UK",['Memorial Enterprises'],,['Drama'],['English']
39. The Bird with the Crystal Plumage,1970,1h 36m,GP,7.1,25K,,"An American writer vacationing in Rome attempts to unmask a serial killer he witnessed in the act of an attempted murder, and who is now hunting him and his girlfriend.",https://www.imdb.com/title/tt0065143/?ref_=sr_i_39,"['Tony Musante', 'Suzy Kendall', 'Enrico Maria Salerno']",Dario Argento,"['Tony Musante', 'Suzy Kendall', 'Enrico Maria Salerno', 'Eva Renzi', 'Umberto Raho', 'Renato Romano', 'Giuseppe Castellano', 'Mario Adorf', 'Pino Patti', 'Gildo Di Marco']","$500,000 (estimated)",,,,"June 12, 1970","['Italy', 'West Germany']","Agnano, Naples, Campania, Italy","['Seda Spettacoli', 'Central Cinema Company Film (CCC)']",2 wins & 1 nomination total,"['Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']",['Italian']
40. A Love Story,1970,1h 55m,,7.3,7.8K,,"Two teenagers fall in love over the summer, in spite of cynical and disapproving adults who dismiss their relationship as being nothing but young love.",https://www.imdb.com/title/tt0065955/?ref_=sr_i_40,"['Ann-Sofie Kylin', 'Rolf Sohlman', 'Anita Lindblom']",Roy Andersson,"['Ann-Sofie Kylin', 'Rolf Sohlman', 'Anita Lindblom', 'Bertil Norström', 'Lennart Tellfelt', 'Margreth Weivers', 'Arne Andersson', 'Maud Backéus', 'Verner Edberg', 'Tommy Nilson']",,,"$169,374",,"April 24, 1970",['Sweden'],"AB Europa Studio, Sundbyberg, Sweden",['Europa Film'],5 wins & 2 nominations total,"['Teen Romance', 'Drama', 'Romance']","['Swedish', 'Spanish']"
41. Myra Breckinridge,1970,1h 34m,R,4.5,3.6K,,"After undergoing gender reassignment surgery, an aspiring actress travels to Hollywood, where she also wants to make a claim on her wealthy uncle's estate.",https://www.imdb.com/title/tt0066115/?ref_=sr_i_41,"['Mae West', 'John Huston', 'Raquel Welch']",Michael Sarne,"['Mae West', 'John Huston', 'Raquel Welch', 'Rex Reed', 'Farrah Fawcett', 'Roger C. Carmel', 'Roger Herren', 'George Furth', 'Calvin Lockhart', 'Jim Backus']","$5,385,000 (estimated)",,,,"June 24, 1970",['United States'],"6914 Hollywood Boulevard, Hollywood, Los Angeles, California, USA",['Twentieth Century Fox'],,"['Farce', 'Parody', 'Satire', 'Comedy']","['English', 'Italian']"
42. The Railway Children,1970,1h 49m,G,7.3,5.9K,,"After the enforced absence of their father, three children move with their mother to Yorkshire, where during their adventures they attempt to discover the reason for his disappearance.",https://www.imdb.com/title/tt0066279/?ref_=sr_i_42,"['Dinah Sheridan', 'Bernard Cribbins', 'William Mervyn']",Lionel Jeffries,"['Dinah Sheridan', 'Bernard Cribbins', 'William Mervyn', 'Iain Cuthbertson', 'Jenny Agutter', 'Sally Thomsett', 'Gary Warren', 'Peter Bromilow', 'Ann Lancaster', 'Gordon Whiting']",,,"$32,239",,"December 22, 1970",['United Kingdom'],"Bents Farm, Oxenhope, Keighley, Bradford, West Yorkshire, England, UK",['EMI Films'],3 nominations total,"['Drama', 'Family']","['English', 'French', 'Russian']"
43. Waterloo,1970,2h 3m,G,7.3,13K,,"Facing the decline of everything he has worked to obtain, conqueror Napoleon Bonaparte and his army confront the British at the Battle of Waterloo.",https://www.imdb.com/title/tt0066549/?ref_=sr_i_43,"['H.A.L. Craig', 'Sergey Bondarchuk', 'Vittorio Bonicelli']",Sergey Bondarchuk,"['Rod Steiger', 'Christopher Plummer', 'Orson Welles', 'Jack Hawkins', 'Virginia McKenna', ""Dan O'Herlihy"", 'Rupert Davies', 'Philippe Forquet', 'Gianni Garko', 'Ivo Garrani']","$25,000,000 (estimated)",,,,"October 29, 1970","['Italy', 'Soviet Union', 'United States']",Ukraine,"['Dino de Laurentiis Cinematografica', 'Mosfilm']",3 wins & 2 nominations total,"['Costume Drama', 'Docudrama', 'Historical Epic', 'Period Drama', 'War Epic', 'Action', 'Biography', 'Drama', 'History', 'War']",['English']
44. Deep End,1970,1h 28m,R,7.2,7.9K,,"15-year-old dropout Mike takes a job at Newford Baths, where inappropriate sexual behaviour abounds, and becomes obsessed with his coworker Susan.",https://www.imdb.com/title/tt0066122/?ref_=sr_i_44,"['Jane Asher', 'John Moulder-Brown', 'Karl Michael Vogler']",Jerzy Skolimowski,"['Jane Asher', 'John Moulder-Brown', 'Karl Michael Vogler', 'Christopher Sandford', 'Diana Dors', 'Louise Martini', 'Erica Beer', 'Anita Lochner', 'Anne-Marie Kuster', 'Cheryl Hall']",,,$454,,"March 18, 1971","['United Kingdom', 'West Germany']","The Englischer Garten, Munich, Bavaria, Germany","['Maran Film', 'Kettledrum Films']",1 nomination total,"['Comedy', 'Drama', 'Romance']",['English']
45. Ryan's Daughter,1970,3h 20m,R,7.4,11K,,"Set in the wake of the 1916 Easter Rising, a married woman in a small Irish village has an affair with a troubled British officer.",https://www.imdb.com/title/tt0066319/?ref_=sr_i_45,"['Robert Mitchum', 'Trevor Howard', 'John Mills']",David Lean,"['Robert Mitchum', 'Trevor Howard', 'John Mills', 'Sarah Miles', 'Christopher Jones', 'Leo McKern', 'Barry Foster', 'Marie Kean', ""Arthur O'Sullivan"", 'Evin Crowley']","$15,000,000 (estimated)",,"$8,768",,"December 10, 1970",['United States'],"Cliffs of Moher, County Clare, Ireland","['Metro-Goldwyn-Mayer (MGM)', 'Faraway Productions']",9 wins & 22 nominations total,"['Period Drama', 'Drama', 'Romance']",['English']
46. They Call Me Trinity,1970,1h 55m,G,7.4,26K,,"A lazy, unorthodox gunfighter and his portly, horse-thieving brother defend a Mormon settlement from a land-grabbing Major, a Mexican bandit, and their henchmen.",https://www.imdb.com/title/tt0067355/?ref_=sr_i_46,"['Terence Hill', 'Bud Spencer', 'Steffen Zacharias']",Enzo Barboni,"['Terence Hill', 'Bud Spencer', 'Steffen Zacharias', 'Dan Sturkie', 'Gisela Hahn', 'Elena Pedemonte', 'Farley Granger', 'Ezio Marano', 'Luciano Rossi', 'Ugo Sasso']",,,"$28,807",,"November 4, 1971",['Italy'],"Campo Imperatore, L'Aquila, Abruzzo, Italy",['West Film'],,"['Buddy Comedy', 'Parody', 'Spaghetti Western', 'Comedy', 'Western']",['Italian']
47. Zabriskie Point,1970,1h 53m,R,6.9,18K,,"At a time of chronic civil unrest in late 1960s America, a young revolutionary suspected of murder steals a plane and meets a girl.",https://www.imdb.com/title/tt0066601/?ref_=sr_i_47,"['Michelangelo Antonioni', 'Franco Rossetti', 'Sam Shepard']",Michelangelo Antonioni,"['Mark Frechette', 'Daria Halprin', 'Paul Fix', 'G.D. Spradlin', 'Bill Garaway', 'Kathleen Cleaver', 'Rod Taylor', 'Martin Abrahams', 'Michael L. Davis', 'Lee Duncan']","$7,000,000 (estimated)",,"$84,879",,"March 26, 1970",['United States'],"Death Valley National Monument, California, USA",['Metro-Goldwyn-Mayer (MGM)'],1 win & 1 nomination total,['Drama'],['English']
48. The Party at Kitty and Stud's,1970,1h 11m,X,2.5,2.6K,,"Kitty and Stud are lovers. They enjoy a robust sex-life, which includes fellatio and light S&M, specifically, Stud belt-whipping Kitty. Three women come over for a party and Stud services them, one after the other.",https://www.imdb.com/title/tt0065904/?ref_=sr_i_48,"['Sylvester Stallone', 'Henrietta Holm', 'Jodi Van Prang']",Morton M. Lewis,"['Sylvester Stallone', 'Henrietta Holm', 'Jodi Van Prang', 'Nicholas Warren', 'Frank Micelli', 'Barbara Strom', 'Janet Banzet']","$5,000 (estimated)",,,,"February 10, 1970",['United States'],"New York City, New York, USA",['Stallion Releasing Inc.'],,"['Comedy', 'Drama', 'Romance']",['English']
